github.com/AlDanial/cloc v 1.98  T=2.99 s (880.9 files/s, 218122.6 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
HTML                           1586         108162           4658         396220
XML                             289              3              0          83683
C                               184           2330           1708          14805
JavaScript                      199            277            410           6177
C/C++ Header                    158           1137           1614           5345
SVG                              17              0              2           2934
CSS                               8            578             95           2852
Markdown                         46            763              0           2530
Text                              4             81              0           1868
Python                           54            506           1169           1656
XSD                               4            130             14           1631
Bourne Again Shell                4            148            129           1201
Bourne Shell                     11            116            133            859
Assembly                         16            181            542            665
C++                               1            147             63            659
YAML                              6             30              7            583
make                              7             92             37            517
Meson                             5             39             17            402
CMake                             6             73              4            373
Coq                               4             28              9            221
Perl                              5             31             33            194
reStructuredText                  6             68            112            126
Pascal                            1             24             60             50
Linker Script                     1             14             13             37
Rust                              2              3              0             28
JSON                              2              0              0             23
Swift                             1              1              0             10
XSLT                              1              0              5             10
yacc                              1              1              1              6
TOML                              1              1              0              5
INI                               1              0              0              4
--------------------------------------------------------------------------------
SUM:                           2631         114964          10835         525674
--------------------------------------------------------------------------------
